https://www.bike-discount.de/en/cube-stereo-hybrid-120-tm-750-flashgrey-n-olive	Cube Stereo Hybrid 120 TM 750 flashgrey´n´olive	€3,999.00	aluminium	"Size Split: 27.5: S (16"") // 29: M (18""), L (20""), XL (22"")"	flashgrey´n´olive	starting from 25,9 kg
https://www.bike-discount.de/en/radon-slide-trail-al-8.0-1	Radon Slide Trail AL 8.0	€2,099.00	aluminium	"29"""	coolgray / coolgray	starting from 15,10 kg
https://www.bike-discount.de/en/radon-jealous-al-10.0-sl-2	Radon Jealous AL 10.0 SL	€1,999.00	aluminium	"29"""	black anodized / deepblack	ab 10,20 Kg
https://www.bike-discount.de/en/radon-zr-team-hybrid-6.0-500-1	Radon ZR Team Hybrid 6.0 500	€1,599.00	aluminium	"29"""	daktari / nearlyblack	ab 19,90 kg
https://www.bike-discount.de/en/radon-slide-trail-8.0-2	Radon Slide Trail 8.0	€2,199.00	Carbon mainframe, alloy rear triangle	"29"""	stealthgrey / UD carbon	ab 14,25 Kg
https://www.bike-discount.de/en/cube-stereo-hybrid-140-hpc-pro-750-swampgrey-n-black	Cube Stereo Hybrid 140 HPC Pro 750 swampgrey´n´black	€3,599.00	Carbon mainframe, alloy rear triangle	"Size Split: 27.5: S (16"") // 29: M (18""), L (20""), XL (22"")"	swampgrey´n´black	starting from 24,6 kg
https://www.bike-discount.de/en/cube-stereo-hybrid-140-hpc-race-750-liquidred-n-black	Cube Stereo Hybrid 140 HPC Race 750 liquidred´n´black	€3,839.20	Carbon mainframe, alloy rear triangle	"Size Split: 27.5: S (16"") // 29: M (18""), L (20""), XL (22"")"	liquidred´n´black	starting from 24,8 kg
https://www.bike-discount.de/en/radon-slide-trail-10.0-2	Radon Slide Trail 10.0	€3,299.00	Carbon mainframe, alloy rear triangle	"29"""	mudhoney / black	starting from 14,35 kg
https://www.bike-discount.de/en/radon-vaillant-disc-10.0-ea	Radon Vaillant Disc 10.0 EA	€3,599.20	Carbon	"28"""	coolgray / deepblack	starting from 7,65 kg
https://www.bike-discount.de/en/cube-agree-c-62-pro-white-n-orange	Cube Agree C:62 Pro white´n´orange	€2,559.20	Carbon	"28"""	white´n´orange	starting from 8,9 kg
https://www.bike-discount.de/en/radon-solution-hybrid-7.0-performance-500-2	Radon Solution Hybrid 7.0 Performance 500	€1,799.00	aluminium	"28"""	forestgreen / darkgrey	ab 23,20 kg
https://www.bike-discount.de/en/focus-jam2-sl-8.8	Focus JAM² SL 8.8	€4,799.00	Carbon	"29"""	Limeyellow / Carbon raw	19.69 kg
https://www.bike-discount.de/en/radon-skeen-trail-9.0-2	Radon Skeen Trail 9.0	€2,199.00	Carbon mainframe, alloy rear triangle	"29"""	darkishblue / icesilver	ab 13,45 Kg
https://www.bike-discount.de/en/cube-reaction-hybrid-race-750-olive-n-green	Cube Reaction Hybrid Race 750 olive´n´green	€2,799.00	aluminium	"Size Split: 27.5: S (15"") // 29"": M (17""), L (19""), XL (21""), XXL (23"")"	olive´n´green	starting from 24,1 kg
https://www.bike-discount.de/en/radon-jealous-hybrid-8.0-625-1	Radon Jealous Hybrid 8.0 625	€2,199.00	aluminium	"29"""	black / warmsilver	starting from 22,45 kg
https://www.bike-discount.de/en/radon-relate-8.0-625-1	Radon Relate 8.0 625	€2,799.20	unknown	"28"""	black / warmsilver	ab 25,00 kg
https://www.bike-discount.de/en/cube-supreme-hybrid-slt-625-easy-entry-midnight-n-black-1	Cube Supreme Hybrid SLT 625 Easy Entry midnight'n'black	€3,299.00	aluminium	"28"""	midnight´n´black	ab 28,9 kg
https://www.bike-discount.de/en/cube-stereo-hybrid-160-hpc-slx-750-27.5-grey-n-grey	Cube Stereo Hybrid 160 HPC SLX 750 27.5 grey´n´grey	€3,899.00	Carbon mainframe, alloy rear triangle	"27.5""x2.4"	grey´n´grey	starting from 24,6 kg
